id,codes
0,AAL
1,AAR
2,ABA
3,ABC
4,ABE
5,ABI
6,ABJ
7,ABQ
8,ABV
9,ABZ
10,ACA
11,ACC
12,ACE
13,ACK
14,ACY
15,ADA
16,ADD
17,ADL
18,AEP
19,AER
20,AES
21,AEX
22,AEY
23,AFW
24,AGA
25,AGB
26,AGC
27,AGP
28,AGS
29,AGU
30,AHB
31,AJA
32,AJF
33,AJL
34,AJU
35,AKC
36,AKL
37,AKT
38,AKX
39,ALA
40,ALB
41,ALC
42,ALG
43,ALS
44,AMA
45,AMD
46,AMM
47,AMQ
48,AMS
49,ANC
50,ANG
51,ANR
52,ANS
53,ANU
54,AOI
55,APA
56,APW
57,AQJ
58,AQP
59,ARN
60,ART
61,ASB
62,ASE
63,ASM
64,ASU
65,ATA
66,ATH
67,ATL
68,ATQ
69,ATW
70,AUA
71,AUH
72,AUS
73,AVL
74,AVP
75,AWZ
76,AYP
77,AYT
78,AZA
79,AZO
80,BAH
81,BAL
82,BAQ
83,BAT
84,BCB
85,BCD
86,BCN
87,BDA
88,BDI
89,BDL
90,BDO
91,BDS
92,BEB
93,BED
94,BEG
95,BEL
96,BER
97,BES
98,BEY
99,BFF
100,BFI
101,BFL
102,BFS
103,BGA
104,BGI
105,BGO
106,BGR
107,BGW
108,BGY
109,BHD
110,BHM
111,BHO
112,BHX
113,BIK
114,BIL
115,BIO
116,BJC
117,BJL
118,BJM
119,BJX
120,BKF
121,BKI
122,BKK
123,BKL
124,BKO
125,BLI
126,BLK
127,BLL
128,BLQ
129,BLR
130,BMA
131,BMI
132,BMV
133,BNA
134,BND
135,BNE
136,BNX
137,BOB
138,BOD
139,BOG
140,BOH
141,BOI
142,BOM
143,BON
144,BOS
145,BPN
146,BPT
147,BQH
148,BRA
149,BRC
150,BRE
151,BRI
152,BRO
153,BRQ
154,BRR
155,BRS
156,BRU
157,BRW
158,BSB
159,BSL
160,BTJ
161,BTM
162,BTR
163,BTS
164,BTV
165,BUD
166,BUF
167,BUR
168,BUT
169,BVA
170,BVB
171,BVC
172,BWE
173,BWF
174,BWI
175,BWN
176,BYJ
177,BZE
178,BZN
179,BZV
180,CAE
181,CAG
182,CAH
183,CAI
184,CAK
185,CAN
186,CBB
187,CBG
188,CBQ
189,CBR
190,CCF
191,CCJ
192,CCK
193,CCP
194,CCS
195,CCU
196,CDC
197,CDF
198,CDG
199,CEB
200,CEK
201,CFB
202,CFD
203,CFN
204,CGH
205,CGK
206,CGN
207,CGO
208,CGP
209,CGR
210,CHA
211,CHC
212,CHM
213,CHO
214,CHR
215,CHS
216,CIA
217,CID
